Page Title,File Name,Topic,Sector
Abandoned Farmland Restoration,solution-abandoned-farmland-restoration.md,Abandoned Farmland Restoration,Land Sinks
Alternative Cement,solution-alternative-cement.md,Alternative Cement,Industry
Alternative Refrigerants,solution-alternative-refrigerants.md,Alternative Refrigerants,Industry / Buildings
Bamboo Production,solution-bamboo-production.md,Bamboo Production,Land Sinks
Bicycle Infrastructure,solution-bicycle-infrastructure.md,Bicycle Infrastructure,Transportation
Biochar Production,solution-biochar-production.md,Biochar Production,Engineered Sinks
Biogas for Cooking,solution-biogas-for-cooking.md,Biogas for Cooking,Buildings
Biomass Power,solution-biomass-power.md,Biomass Power,Electricity
Bioplastics,solution-bioplastics.md,Bioplastics,Industry
Building Automation Systems,solution-building-automation-systems.md,Building Automation Systems,Electricity / Buildings
Building Retrofitting,solution-building-retrofitting.md,Building Retrofitting,Electricity / Buildings
Carpooling,solution-carpooling.md,Carpooling,Transportation
Clean Cooking,solution-clean-cooking.md,Clean Cooking,Buildings
Coastal Wetland Protection,solution-coastal-wetland-protection.md,Coastal Wetland Protection,"Food, Agriculture, and Land Use / Coastal and Ocean Sinks"
Coastal Wetland Restoration,solution-coastal-wetland-restoration.md,Coastal Wetland Restoration,Coastal and Ocean Sinks
Composting,solution-composting.md,Composting,Industry
Concentrated Solar Power,solution-concentrated-solar-power.md,Concentrated Solar Power,Electricity
Conservation Agriculture,solution-conservation-agriculture.md,Conservation Agriculture,"Food, Agriculture, and Land Use / Land Sinks"
Distributed Energy Storage,solution-distributed-energy-storage.md,Distributed Energy Storage,Electricity
Distributed Solar Photovoltaics,solution-distributed-solar-photovoltaics.md,Distributed Solar Photovoltaics,Electricity
District Heating,solution-district-heating.md,District Heating,Electricity / Buildings
Dynamic Glass,solution-dynamic-glass.md,Dynamic Glass,Electricity / Buildings
Efficient Aviation,solution-efficient-aviation.md,Efficient Aviation,Transportation
Efficient Ocean Shipping,solution-efficient-ocean-shipping.md,Efficient Ocean Shipping,Transportation
Efficient Trucks,solution-efficient-trucks.md,Efficient Trucks,Transportation
Electric Bicycles,solution-electric-bicycles.md,Electric Bicycles,Transportation
Electric Cars,solution-electric-cars.md,Electric Cars,Transportation
Electric Trains,solution-electric-trains.md,Electric Trains,Transportation
Family Planning and Education,solution-family-planning-and-education.md,Family Planning and Education,Health and Education
Farm Irrigation Efficiency,solution-farm-irrigation-efficiency.md,Farm Irrigation Efficiency,"Food, Agriculture, and Land Use"
Forest Protection,solution-forest-protection.md,Forest Protection,"Food, Agriculture, and Land Use / Land Sinks"
Geothermal Power,solution-geothermal-power.md,Geothermal Power,Electricity
Grassland Protection,solution-grassland-protection.md,Grassland Protection,"Food, Agriculture, and Land Use / Land Sinks"
Green and Cool Roofs,solution-green-and-cool-roofs.md,Green and Cool Roofs,Electricity / Buildings
Grid Flexibility,solution-grid-flexibility.md,Grid Flexibility,Electricity
High-Efficiency Heat Pumps,solution-high-efficiency-heat-pumps.md,High-Efficiency Heat Pumps,Electricity / Buildings
High-Performance Glass,solution-high-performance-glass.md,High-Performance Glass,Electricity / Buildings
High-Speed Rail,solution-high-speed-rail.md,High-Speed Rail,Transportation
Hybrid Cars,solution-hybrid-cars.md,Hybrid Cars,Transportation
Improved Aquaculture,solution-improved-aquaculture.md,Improved Aquaculture,"Food, Agriculture, and Land Use"
Improved Cattle Feed,solution-improved-cattle-feed.md,Improved Cattle Feed,"Food, Agriculture, and Land Use"
Improved Fisheries,solution-improved-fisheries.md,Improved Fisheries,"Food, Agriculture, and Land Use / Coastal and Ocean Sinks"
Improved Manure Management,solution-improved-manure-management.md,Improved Manure Management,"Food, Agriculture, and Land Use"
Improved Rice Production,solution-improved-rice-production.md,Improved Rice Production,"Food, Agriculture, and Land Use / Land Sinks"
Indigenous Peoples’ Forest Tenure,solution-indigenous-peoples-forest-tenure.md,Indigenous Peoples’ Forest Tenure,"Food, Agriculture, and Land Use / Land Sinks"
Insulation,solution-insulation.md,Insulation,Electricity / Buildings
Landfill Methane Capture,solution-landfill-methane-capture.md,Landfill Methane Capture,Electricity / Industry
LED Lighting,solution-led-lighting.md,LED Lighting,Electricity
Low-Flow Fixtures,solution-low-flow-fixtures.md,Low-Flow Fixtures,Electricity / Buildings
Macroalgae Protection and Restoration,solution-macroalgae-protection-and-restoration.md,Macroalgae Protection and Restoration,Coastal and Ocean Sinks
Managed Grazing,solution-managed-grazing.md,Managed Grazing,Land Sinks
Methane Digesters,solution-methane-digesters.md,Methane Digesters,Electricity / Industry
Methane Leak Management,solution-methane-leak-management.md,Methane Leak Management,Other Energy
Micro Wind Turbines,solution-micro-wind-turbines.md,Micro Wind Turbines,Electricity
Microgrids,solution-microgrids.md,Microgrids,Electricity
Multistrata Agroforestry,solution-multistrata-agroforestry.md,Multistrata Agroforestry,Land Sinks
Net Zero Buildings,solution-net-zero-buildings.md,Net Zero Buildings,Electricity / Buildings
Nuclear Power,solution-nuclear-power.md,Nuclear Power,Electricity
Nutrient Management,solution-nutrient-management.md,Nutrient Management,"Food, Agriculture, and Land Use"
Ocean Power,solution-ocean-power.md,Ocean Power,Electricity
Offshore Wind Turbines,solution-offshore-wind-turbines.md,Offshore Wind Turbines,Electricity
Onshore Wind Turbines,solution-onshore-wind-turbines.md,Onshore Wind Turbines,Electricity
Peatland Protection and Rewetting,solution-peatland-protection-and-rewetting.md,Peatland Protection and Rewetting,"Food, Agriculture, and Land Use / Land Sinks"
Perennial Biomass Production,solution-perennial-biomass-production.md,Perennial Biomass Production,Land Sinks
Perennial Staple Crops,solution-perennial-staple-crops.md,Perennial Staple Crops,Land Sinks
Plant-Rich Diets,solution-plant-rich-diets.md,Plant-Rich Diets,"Food, Agriculture, and Land Use / Land Sinks"
Public Transit,solution-public-transit.md,Public Transit,Transportation
Recycled Metals,solution-recycled-metals.md,Recycled Metals,Industry
Recycled Paper,solution-recycled-paper.md,Recycled Paper,Industry
Recycled Plastics,solution-recycled-plastics.md,Recycled Plastics,Industry
Recycling,solution-recycling.md,Recycling,Industry
Reduced Food Waste,solution-reduced-food-waste.md,Reduced Food Waste,"Food, Agriculture, and Land Use / Land Sinks"
Reduced Plastics,solution-reduced-plastics.md,Reduced Plastics,Industry
Refrigerant Management,solution-refrigerant-management.md,Refrigerant Management,Industry / Buildings
Regenerative Annual Cropping,solution-regenerative-annual-cropping.md,Regenerative Annual Cropping,"Food, Agriculture, and Land Use / Land Sinks"
Seafloor Protection,solution-seafloor-protection.md,Seafloor Protection,"Food, Agriculture, and Land Use"
Seaweed Farming,solution-seaweed-farming.md,Seaweed Farming,Coastal and Ocean Sinks / Coastal and Ocean Sinks
Silvopasture,solution-silvopasture.md,Silvopasture,Land Sinks
Small Hydropower,solution-small-hydropower.md,Small Hydropower,Electricity
Smart Thermostats,solution-smart-thermostats.md,Smart Thermostats,Electricity / Buildings
Solar Hot Water,solution-solar-hot-water.md,Solar Hot Water,Electricity / Buildings
Sustainable Intensification for Smallholders,solution-sustainable-intensification-for-smallholders.md,Sustainable Intensification for Smallholders,"Food, Agriculture, and Land Use / Land Sinks"
System of Rice Intensification,solution-system-of-rice-intensification.md,System of Rice Intensification,"Food, Agriculture, and Land Use / Land Sinks"
Telepresence,solution-telepresence.md,Telepresence,Transportation
Temperate Forest Restoration,solution-temperate-forest-restoration.md,Temperate Forest Restoration,Land Sinks
Tree Intercropping,solution-tree-intercropping.md,Tree Intercropping,Land Sinks
Tree Plantations (on Degraded Land),Solution-tree-plantations-on-degraded-land.md,Tree Plantations (on Degraded Land),Land Sinks
Tropical Forest Restoration,solution-tropical-forest-restoration.md,Tropical Forest Restoration,Land Sinks
Utility-Scale Energy Storage,solution-utility-scale-energy-storage.md,Utility-Scale Energy Storage,Electricity
Utility-Scale Solar Photovoltaics,solution-utility-scale-solar-photovoltaics.md,Utility-Scale Solar Photovoltaics,Electricity
Walkable Cities,solution-walkable-cities.md,Walkable Cities,Transportation
Waste to Energy,solution-waste-to-energy.md,Waste to Energy,Electricity / Industry
Water Distribution Efficiency,solution-water-distribution-efficiency.md,Water Distribution Efficiency,Electricity
